dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1590710400,2020-05-29 00:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,3.05,-0.19,2.67,3.67,1015,,,86,2,60,,,,,75,803,Clouds,broken clouds,04n
1590714000,2020-05-29 01:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,3.58,0.96,2.67,4,1015,,,80,1,0,,,,,75,803,Clouds,broken clouds,04n
1590717600,2020-05-29 02:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,5.03,1.94,4.52,5.62,1013,,,80,2,20,,,,,75,803,Clouds,broken clouds,04n
1590721200,2020-05-29 03:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,6.03,2.92,4.52,7,1013,,,74,2,350,,,,,75,803,Clouds,broken clouds,04n
1590724800,2020-05-29 04:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,6.09,2.29,4.52,7,1013,,,74,3,60,,,,,75,803,Clouds,broken clouds,04n
1590728400,2020-05-29 05:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,6.61,2.99,5.01,7,1011,,,77,3,90,,,,,75,803,Clouds,broken clouds,04n
1590732000,2020-05-29 06:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,7.09,2.85,5.01,8,1012,,,77,4,90,,,,,75,803,Clouds,broken clouds,04n
1590735600,2020-05-29 07:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,7.67,3.53,5.01,9,1011,,,77,4,70,,,,,75,803,Clouds,broken clouds,04n
1590739200,2020-05-29 08:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,8.04,3.13,5.36,9,1010,,,73,5,80,,,,,40,802,Clouds,scattered clouds,03n
1590742800,2020-05-29 09:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,7.98,3.76,5.36,9,1010,,,73,4,90,,,,,40,802,Clouds,scattered clouds,03n
1590746400,2020-05-29 10:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,8.57,4.45,5.36,10,1010,,,73,4,90,,,,,39,802,Clouds,scattered clouds,03n
1590750000,2020-05-29 11:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,9.4,5.24,6.17,11,1009,,,50,3,60,,,,,0,800,Clear,sky is clear,01n
1590753600,2020-05-29 12:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,8.8,3.98,6.17,10,1009,,,53,4,60,,,,,0,800,Clear,sky is clear,01n
1590757200,2020-05-29 13:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,8.87,4.06,6.17,10,1009,,,53,4,60,,,,,0,800,Clear,sky is clear,01n
1590760800,2020-05-29 14:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,7.8,2.43,5.15,9,1007,,,61,5,50,,,,,31,802,Clouds,scattered clouds,03n
1590764400,2020-05-29 15:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,7.23,2.48,5.15,8,1007,,,61,4,60,,,,,31,802,Clouds,scattered clouds,03n
1590768000,2020-05-29 16:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,6.21,1.6,5.15,7.05,1007,,,70,4,70,,,,,31,802,Clouds,scattered clouds,03n
1590771600,2020-05-29 17:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,4.5,0.48,3.35,5,1006,,,75,3,90,,,,,0,800,Clear,sky is clear,01n
1590775200,2020-05-29 18:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,3.97,0.68,3.35,4.35,1006,,,79,2,90,,,,,0,800,Clear,sky is clear,01n
1590778800,2020-05-29 19:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,3.97,-0.98,3.35,4.35,1006,,,69,4,60,,,,,0,800,Clear,sky is clear,01n
1590782400,2020-05-29 20:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,3.9,-0.74,3.27,4.57,1005,,,81,4,20,,,,,14,801,Clouds,few clouds,02n
1590786000,2020-05-29 21:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,3.9,-1.47,3.27,4.57,1005,,,80,5,30,,,,,14,801,Clouds,few clouds,02n
1590789600,2020-05-29 22:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,4.43,0.4,3.27,5,1005,,,75,3,30,,,,,14,801,Clouds,few clouds,02n
1590793200,2020-05-29 23:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,6.18,2.45,4.6,7,1004,,,76,3,50,,,,,0,800,Clear,sky is clear,01n
1590796800,2020-05-30 00:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,6.63,2.49,4.6,8,1004,,,61,3,60,,,,,0,800,Clear,sky is clear,01n
1590800400,2020-05-30 01:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,6.71,3.41,4.6,8,1004,,,65,2,60,,,,,0,800,Clear,sky is clear,01n
1590804000,2020-05-30 02:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,7.68,5.09,5.31,9,1003,,,61,1,0,,,,,82,803,Clouds,broken clouds,04n
1590807600,2020-05-30 03:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,8.11,4.74,5.31,10,1003,,,57,2,360,,,,,82,803,Clouds,broken clouds,04n
1590811200,2020-05-30 04:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,8.22,3.47,5.31,10,1003,,,57,4,330,,,,,82,803,Clouds,broken clouds,04n
1590814800,2020-05-30 05:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,9.28,4.52,6.35,11,1002,,,53,4,320,,,,,40,802,Clouds,scattered clouds,03n
1590818400,2020-05-30 06:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,9.17,4.4,6.35,11,1002,,,53,4,320,,,,,0,800,Clear,sky is clear,01n
1590822000,2020-05-30 07:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,9.28,4.52,6.35,11,1002,,,53,4,350,,,,,0,800,Clear,sky is clear,01n
1590825600,2020-05-30 08:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,10.18,4.73,6.46,12,1001,,,50,5,330,,,,,75,803,Clouds,broken clouds,04n
1590829200,2020-05-30 09:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,10.07,4.6,6.46,12,1001,,,50,5,320,,,,,55,803,Clouds,broken clouds,04n
1590832800,2020-05-30 10:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,10.18,4.73,6.46,12,1001,,,50,5,330,,,,,75,803,Clouds,broken clouds,04n
1590836400,2020-05-30 11:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,9.92,4.27,6.39,12,1001,,,46,5,340,,,,,75,803,Clouds,broken clouds,04n
1590840000,2020-05-30 12:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,8.29,1.59,6.39,9,1001,,,61,7,20,,,,,0,800,Clear,sky is clear,01n
1590843600,2020-05-30 13:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,7.8,1.73,6.39,8.39,1001,,,61,6,30,,,,,0,800,Clear,sky is clear,01n
1590847200,2020-05-30 14:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,6.34,0.19,4.94,7,1000,,,65,6,20,,,,,59,803,Clouds,broken clouds,04n
1590850800,2020-05-30 15:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,5.8,-0.27,4.94,6.14,1000,,,70,6,20,,,,,59,803,Clouds,broken clouds,04n
1590854400,2020-05-30 16:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,5.28,-0.02,4.94,6.14,1000,,,75,5,10,,,,,59,803,Clouds,broken clouds,04n
1590858000,2020-05-30 17:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,2.94,-3.22,2.36,3.36,1000,,,82,6,30,,,,,0,800,Clear,sky is clear,01n
1590861600,2020-05-30 18:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,2.44,-4.49,2,3.36,1000,,,82,7,30,,,,,0,800,Clear,sky is clear,01n
1590865200,2020-05-30 19:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,1.88,-5.04,1,3.36,1000,,,86,7,20,,,,,0,800,Clear,sky is clear,01n
1590868800,2020-05-30 20:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,1.22,-5.22,0.74,2.14,999,,,80,6,20,,,,,73,803,Clouds,broken clouds,04n
1590872400,2020-05-30 21:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,1.24,-5.06,0.74,2.14,999,,,86,6,10,,,,,73,803,Clouds,broken clouds,04n
1590876000,2020-05-30 22:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,1.22,-6.49,0.74,2.14,999,,,86,8,10,,,,,73,803,Clouds,broken clouds,04n
1590879600,2020-05-30 23:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,1.88,-6.57,1.47,2,999,,,80,9,20,,,,,0,800,Clear,sky is clear,01n
1590883200,2020-05-31 00:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,2.38,-6.27,1.47,3,999,,,69,9,20,,,,,0,800,Clear,sky is clear,01n
1590886800,2020-05-31 01:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,2.95,-5.16,1.47,4,999,,,60,8,10,,,,,0,800,Clear,sky is clear,01n
1590890400,2020-05-31 02:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,3.68,-5.75,3.09,4,998,,,60,10,10,,,,,8,800,Clear,sky is clear,01n
1590894000,2020-05-31 03:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,4.16,-4.62,3.09,5,998,,,56,9,360,,,,,8,800,Clear,sky is clear,01n
1590897600,2020-05-31 04:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,4.21,-4.68,3.09,5,998,,,52,9,360,,,,,8,800,Clear,sky is clear,01n
1590901200,2020-05-31 05:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,5.32,-2.63,5,6.1,999,,,56,8,10,,,,,0,800,Clear,sky is clear,01n
1590904800,2020-05-31 06:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,5.84,-2.17,5.2,6.1,999,,,52,8,360,,,,,0,800,Clear,sky is clear,01n
1590908400,2020-05-31 07:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,5.85,-2.86,5.2,6.1,999,,,52,9,360,,,,,0,800,Clear,sky is clear,01n
1590912000,2020-05-31 08:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,6.33,-2.33,5.69,7.29,999,,,52,9,360,,,,,0,800,Clear,sky is clear,01n
1590915600,2020-05-31 09:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,6.85,-1.88,5.69,7.29,999,,,48,9,10,,,,,0,800,Clear,sky is clear,01n
1590919200,2020-05-31 10:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,6.33,-3.03,5.69,7.29,999,,,52,10,360,,,,,0,800,Clear,sky is clear,01n
1590922800,2020-05-31 11:00:00 +0000 UTC,25200,Custom location,69.321521,87.956233,6.27,-3.22,4.96,7,1000,,,48,10,360,,,,,0,800,Clear,sky is clear,01n
