number_of_samples,date,time_start,time_end,GG_N,MM_N,SS_N,GG_E,MM_E,SS_E,lat,lon,val,standard,key_words1,key_words2,correctKW2_in_meters,cluster
84,01.06.2020,15:35,15:39,69,28,"8,8",87,56,"0,3","69,4691111","87,9334167",1284,"0,05",выше,левого,5,1
85,01.06.2020,15:43,15:50,69,28,"10,2",87,56,"1,7","69,4695000","87,9338056",502,"0,05",выше,стрежне,,1
86,01.06.2020,15:53,15:58,69,28,"11,4",87,56,"2,3","69,4698333","87,9339722",4175,"0,05",выше,правого,5,1
87,01.06.2020,16:00,16:07,69,28,"10,3",87,55,"58,1","69,4695278","87,9328056","3,8","0,05",ниже,левого,5,2
88,01.06.2020,16:09,16:15,69,28,"11,1",87,55,"59,9","69,4697500","87,9333056","49,3","0,05",ниже,стрежне,,2
89,01.06.2020,16:18,16:22,69,28,"11,7",87,56,"1,7","69,4699167","87,9338056",28,"0,05",ниже,правого,5,2
90,01.06.2020,16:41,16:49,69,28,"42,7",87,55,"18,6","69,4785278","87,9218333","3,8","0,05",устье,левого,5,3
91,01.06.2020,16:53,16:57,69,28,42,87,55,"20,9","69,4783333","87,9224722","3,3","0,05",устье,стрежне,,3
92,01.06.2020,17:02,17:10,69,28,"41,6",87,55,"22,9","69,4782222","87,9230278","12,7","0,05",устье,правого,5,3
93,01.06.2020,20:16,20:23,69,29,"2,2",87,55,"50,7","69,4839444","87,9307500","3,1","0,05",впадения,левому,,4
94,01.06.2020,19:50,19:57,69,28,"45,2",87,55,"38,1","69,4792222","87,9272500","4,2","0,05",впадения,месте,,4
95,01.06.2020,20:02,20:11,69,28,"41,2",87,56,"22,8","69,4781111","87,9396667","0,27","0,05",впадения,правому,,4
96,01.06.2020,21:02,21:06,69,34,"41,3",87,56,"26,7","69,5781389","87,9407500","0,05","0,05",озеро,левый,,5
97,01.06.2020,20:53,20:59,69,34,"52,2",87,57,"4,2","69,5811667","87,9511667","0,11","0,05",озеро,середина,,5
98,01.06.2020,21:10,21:15,69,35,"2,6",87,57,"45,7","69,5840556","87,9626944","0,1","0,05",озеро,правый,,5
99,01.06.2020,21:51,21:58,69,26,"28,2",88,12,45,"69,4411667","88,2125000","0,12","0,05",устье,левого,5,6
100,01.06.2020,21:43,21:48,69,26,"34,5",88,13,"5,2","69,4429167","88,2181111","0,12","0,05",устье,стрежне,,6
101,01.06.2020,21:35,21:40,69,26,"37,4",88,13,"18,8","69,4437222","88,2218889","0,08","0,05",устье,правого,5,6
116,02.06.2020,16:27,16:37,69,28,"18,6",87,55,"36,1","69,4718333","87,9266944","9,98","0,05",ниже,левого,7,7
117,02.06.2020,16:40,16:48,69,28,"19,9",87,55,"36,7","69,4721944","87,9268611","3,24","0,05",ниже,стрежне,,7
118,02.06.2020,16:54,17:06,69,28,"20,1",87,55,"40,8","69,4722500","87,9280000","2,73","0,05",ниже,правого,7,7
119,03.06.2020,10:46,10:55,69,28,"18,6",87,55,"36,1","69,4718333","87,9266944","2,25","0,05",ниже,левого,7,8
120,03.06.2020,10:58,11:05,69,28,"19,9",87,55,"36,7","69,4721944","87,9268611","2,53","0,05",ниже,стрежне,,8
121,03.06.2020,11:09,11:17,69,28,"20,1",87,55,"40,8","69,4722500","87,9280000","2,52","0,05",ниже,правого,7,8
122,03.06.2020,12:33,12:43,70,3,"50,2",88,4,"2,9","70,0639444","88,0674722","0,04","0,05",исток,,,9
112,04.06.2020,19:23,19:32,69,28,"42,7",87,55,"18,7","69,4785278","87,9218611","3,19","0,05",ниже,левого,7,10
113,04.06.2020,19:35,19:41,69,28,"42,2",87,55,"19,9","69,4783889","87,9221944","4,57","0,05",ниже,стрежне,,10
114,04.06.2020,19:42,19:51,69,28,"41,2",87,55,"21,6","69,4781111","87,9226667","4,56","0,05",ниже,правого,7,10
115,04.06.2020,20:28,20:32,69,28,"10,8",87,56,"1,9","69,4696667","87,9338611","8,96","0,05",выше,стрежне,,11
123,05.06.2020,11:12,11:20,69,28,"11,4",87,56,"3,1","69,4698333","87,9341944","1,96","0,05",выше,правого,5,12
124,05.06.2020,11:23,11:30,69,28,"9,4",87,56,"1,9","69,4692778","87,9338611","1,53","0,05",выше,стрежне,,12
125,05.06.2020,11:33,11:39,69,28,"7,9",87,56,"0,7","69,4688611","87,9335278","2,64","0,05",выше,левого,5,12
126,05.06.2020,11:44,11:50,69,28,"8,2",87,56,"0,7","69,4689444","87,9335278","3,54","0,05",ниже,левого,5,
127,05.06.2020,11:57,12:05,69,28,"9,5",87,56,"1,5","69,4693056","87,9337500","1,35","0,05",ниже,стрежне,,
128,05.06.2020,12:21,12:29,69,28,"11,2",87,56,"2,3","69,4697778","87,9339722","1,98","0,05",ниже,правого,5,
129,05.06.2020,12:10,12:17,69,28,"9,5",87,56,"1,5","69,4693056","87,9337500","1,3","0,05",ниже,стрежне,,
130,05.06.2020,12:36,12:43,69,28,"11,2",87,56,"2,3","69,4697778","87,9339722","1,85","0,05",ниже,правого,5,
131,05.06.2020,12:52,13:01,69,28,13,87,55,"49,2","69,4702778","87,9303333","3,42","0,05",ниже,левого,5,
132,05.06.2020,13:09,13:15,69,28,"13,6",87,55,"50,2","69,4704444","87,9306111","2,14","0,05",ниже,стрежне,,
133,05.06.2020,13:21,13:27,69,28,"14,3",87,55,"52,6","69,4706389","87,9312778","1,63","0,05",ниже,правого,5,
134,05.06.2020,13:36,13:44,69,28,"15,7",87,55,"49,1","69,4710278","87,9303056","1,88","0,05",ниже,правого,5,
135,05.06.2020,13:50,13:56,69,28,"14,2",87,55,"48,1","69,4706111","87,9300278","2,05","0,05",ниже,левого,5,
136,05.06.2020,14:03,14:09,69,28,"13,4",87,55,"48,1","69,4703889","87,9300278","1,69","0,05",ниже,левого,5,
137,05.06.2020,14:14,14:20,69,28,"17,9",87,55,"38,7","69,4716389","87,9274167","1,74","0,05",ниже,левого,1,
138,05.06.2020,14:25,14:30,69,28,"18,7",87,55,"40,6","69,4718611","87,9279444","1,29","0,05",ниже,стрежне,,
139,05.06.2020,14:34,14:39,69,28,19,87,55,"42,7","69,4719444","87,9285278","1,23","0,05",ниже,правого,5,
